id,symbol,name,current_price,market_cap,last_updated
bitcoin,btc,Bitcoin,83375.0,1655204700934,2025-04-12T05:45:22.049Z
ethereum,eth,Ethereum,1569.26,189420976156,2025-04-12T05:45:27.930Z
tether,usdt,Tether,0.999562,144278956351,2025-04-12T05:45:26.744Z
ripple,xrp,XRP,2.03,118565863277,2025-04-12T05:45:22.930Z
binancecoin,bnb,BNB,587.54,85682110063,2025-04-12T05:45:22.345Z
solana,sol,Solana,122.41,63176315043,2025-04-12T05:45:23.108Z
usd-coin,usdc,USDC,0.999929,60075964166,2025-04-12T05:45:26.136Z
dogecoin,doge,Dogecoin,0.161651,24064163490,2025-04-12T05:45:26.774Z
tron,trx,TRON,0.245257,23286279080,2025-04-12T05:45:26.805Z
cardano,ada,Cardano,0.628196,22617467766,2025-04-12T05:45:27.330Z
